"filename", "language", "YAML", "TypeScript", "Handlebars", "JSON with Comments", "JavaScript", "JSON", "Docker", "Markdown", "TypeScript JSX", "XML", "MS SQL", "CSS", "Ignore", "comment", "blank", "total"
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/search/search.module.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/search/search.service.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/user/decorators/user.decorator.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/user/user.controller.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 37
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/user/user.module.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/src/user/user.service.ts", "TypeScript", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 116
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/tsconfig.build.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/api/tsconfig.json", "JSON with Comments", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/.eslintrc.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 8, 16, 56
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 14, 37
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(auth)/forgot-password/[requestId]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 7, 65
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(auth)/forgot-password/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(auth)/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(auth)/login/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 7, 29
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(auth)/signup/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 7, 29
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(auth)/signup/verify-email/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(workspace)/d/[documentId]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(workspace)/d/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 6, 31
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(workspace)/d/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(workspace)/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(workspace)/settings/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/(workspace)/settings/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 17, 86
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/fonts.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 9, 44
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/metadata.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 8, 38
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/app/robots.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/document/api/document-api.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 83
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/document/index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/document/model/document-model.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 95
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/commands.ts", "TypeScript", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 113
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/constants.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/helpers.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/index.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/keymap.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 56
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/queue/transaction-queue.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 71
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/schema.ts", "TypeScript", 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 19, 202
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/serializer/markdown-serializer.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 66
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/core/use-prose-mirror.ts", "TypeScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26, 115
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/index.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/editor/model/editor-model.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/search/api/search-api.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/search/index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/search/model/search-model.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 47
"/Users/knysh/FICT/7term/economics/lab2/task1-2/apps/web/entities/session/api/session-api.ts", "TypeScript", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29, 141
